size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,24,PC,3,19,72,2024-03-19 17:25:25.245420,0
10,24,PC,3,19,72,2024-03-19 17:25:25.271539,0
10,23,PC,5,19,74,2024-03-19 17:25:25.297106,0
10,23,PC,3,19,72,2024-03-19 17:25:25.322112,0
10,24,PC,0,19,69,2024-03-19 17:25:25.348830,0
10,25,PC,0,19,69,2024-03-19 17:25:25.376187,0
10,23,PC,0,19,69,2024-03-19 17:25:25.402020,0
10,25,PC,6,19,74,2024-03-19 17:25:25.429060,0
10,24,PC,3,19,72,2024-03-19 17:25:25.455688,0
10,24,PC,0,19,69,2024-03-19 17:25:25.481741,0
10,23,PC,6,19,74,2024-03-19 17:25:25.506763,0
10,24,PC,0,19,69,2024-03-19 17:25:25.533605,0
10,22,PC,0,19,69,2024-03-19 17:25:25.558249,0
10,23,PC,6,19,74,2024-03-19 17:25:25.583568,0
10,25,PC,4,19,73,2024-03-19 17:25:25.610718,0
10,24,PC,3,19,72,2024-03-19 17:25:25.637585,0
10,24,PC,0,19,69,2024-03-19 17:25:25.664012,0
10,25,PC,0,19,69,2024-03-19 17:25:25.691468,0
10,22,PC,6,19,74,2024-03-19 17:25:25.716593,0
10,24,PC,0,19,69,2024-03-19 17:25:25.742741,0
10,23,PC,0,19,69,2024-03-19 17:25:25.768442,0
10,24,PC,6,19,74,2024-03-19 17:25:25.794506,0
10,26,PC,3,19,72,2024-03-19 17:25:25.823161,0
10,24,PC,6,19,74,2024-03-19 17:25:25.849758,0
10,24,PC,6,19,74,2024-03-19 17:25:25.877695,0
10,24,PC,6,19,74,2024-03-19 17:25:25.904113,0
10,22,PC,0,19,69,2024-03-19 17:25:25.928681,0
10,23,PC,11,19,79,2024-03-19 17:25:25.954308,0
10,23,PC,0,19,69,2024-03-19 17:25:25.979732,0
10,26,PC,6,19,74,2024-03-19 17:25:26.008335,0
10,24,PC,3,19,72,2024-03-19 17:25:26.034835,0
10,24,PC,0,19,69,2024-03-19 17:25:26.061559,0
10,24,PC,6,19,74,2024-03-19 17:25:26.087805,0
10,24,PC,3,19,72,2024-03-19 17:25:26.114345,0
10,23,PC,6,19,74,2024-03-19 17:25:26.140124,0
10,23,PC,0,19,69,2024-03-19 17:25:26.165608,0
10,23,PC,3,19,72,2024-03-19 17:25:26.190735,0
10,23,PC,0,19,69,2024-03-19 17:25:26.216284,0
10,24,PC,0,19,69,2024-03-19 17:25:26.243084,0
10,24,PC,3,19,72,2024-03-19 17:25:26.269377,0
10,24,PC,6,19,74,2024-03-19 17:25:26.295882,0
10,26,PC,6,19,74,2024-03-19 17:25:26.324599,0
10,22,PC,0,19,69,2024-03-19 17:25:26.349289,0
10,23,PC,6,19,74,2024-03-19 17:25:26.373657,0
10,23,PC,0,19,69,2024-03-19 17:25:26.398874,0
10,22,PC,3,19,72,2024-03-19 17:25:26.423578,0
10,25,PC,6,19,74,2024-03-19 17:25:26.451114,0
10,24,PC,6,19,74,2024-03-19 17:25:26.477504,0
10,24,PC,3,19,72,2024-03-19 17:25:26.504076,0
10,24,PC,0,19,69,2024-03-19 17:25:26.530665,0
10,23,PC,6,19,74,2024-03-19 17:25:26.556378,0
