batch_size,delta,device_type,cpu,memory,consumption,timestamp,gpu
10,31,Laptop,7,78,19,2024-03-19 17:51:30.337827,0
10,45,Laptop,6,78,19,2024-03-19 17:51:30.384062,0
10,52,Laptop,16,78,19,2024-03-19 17:51:30.436817,0
10,33,Laptop,9,78,19,2024-03-19 17:51:30.470346,0
10,31,Laptop,7,78,19,2024-03-19 17:51:30.502290,0
10,31,Laptop,7,78,19,2024-03-19 17:51:30.534540,0
10,32,Laptop,7,78,19,2024-03-19 17:51:30.567639,0
10,54,Laptop,13,78,19,2024-03-19 17:51:30.622107,0
10,43,Laptop,10,78,19,2024-03-19 17:51:30.665925,0
10,33,Laptop,9,78,19,2024-03-19 17:51:30.699744,0
10,31,Laptop,5,78,19,2024-03-19 17:51:30.732094,0
10,31,Laptop,7,78,19,2024-03-19 17:51:30.764451,0
10,32,Laptop,7,78,19,2024-03-19 17:51:30.797436,0
10,31,Laptop,7,78,19,2024-03-19 17:51:30.829858,0
10,37,Laptop,7,78,19,2024-03-19 17:51:30.867862,0
10,43,Laptop,12,78,19,2024-03-19 17:51:30.911834,0
10,34,Laptop,7,78,19,2024-03-19 17:51:30.947083,0
10,32,Laptop,9,78,19,2024-03-19 17:51:30.980109,0
10,31,Laptop,6,78,19,2024-03-19 17:51:31.012305,0
10,33,Laptop,7,78,19,2024-03-19 17:51:31.046354,0
10,37,Laptop,10,78,19,2024-03-19 17:51:31.083822,0
10,33,Laptop,5,78,19,2024-03-19 17:51:31.117783,0
10,31,Laptop,6,78,19,2024-03-19 17:51:31.149545,0
10,32,Laptop,5,78,19,2024-03-19 17:51:31.182562,0
10,31,Laptop,7,78,19,2024-03-19 17:51:31.214895,0
10,32,Laptop,11,78,19,2024-03-19 17:51:31.248306,0
10,35,Laptop,7,78,19,2024-03-19 17:51:31.284030,0
10,34,Laptop,9,78,19,2024-03-19 17:51:31.318552,0
10,33,Laptop,14,78,19,2024-03-19 17:51:31.352523,0
10,33,Laptop,11,78,19,2024-03-19 17:51:31.387023,0
10,38,Laptop,14,78,19,2024-03-19 17:51:31.426078,0
10,41,Laptop,13,78,19,2024-03-19 17:51:31.468530,0
10,38,Laptop,9,78,19,2024-03-19 17:51:31.507459,0
10,33,Laptop,11,78,19,2024-03-19 17:51:31.541180,0
10,34,Laptop,7,78,19,2024-03-19 17:51:31.576381,0
10,33,Laptop,15,78,19,2024-03-19 17:51:31.610864,0
10,40,Laptop,7,78,19,2024-03-19 17:51:31.652041,0
10,34,Laptop,14,78,19,2024-03-19 17:51:31.687522,0
10,39,Laptop,14,78,19,2024-03-19 17:51:31.727737,0
10,33,Laptop,5,78,19,2024-03-19 17:51:31.761489,0
10,31,Laptop,9,78,19,2024-03-19 17:51:31.793847,0
10,32,Laptop,7,78,19,2024-03-19 17:51:31.826839,0
10,32,Laptop,5,78,19,2024-03-19 17:51:31.859380,0
10,33,Laptop,7,78,19,2024-03-19 17:51:31.893780,0
10,34,Laptop,12,78,19,2024-03-19 17:51:31.929032,0
10,35,Laptop,10,78,19,2024-03-19 17:51:31.965023,0
10,34,Laptop,7,78,19,2024-03-19 17:51:31.999676,0
10,42,Laptop,8,78,19,2024-03-19 17:51:32.042560,0
10,33,Laptop,5,78,19,2024-03-19 17:51:32.076150,0
10,32,Laptop,12,78,19,2024-03-19 17:51:32.109456,0
10,35,Laptop,8,78,19,2024-03-19 17:51:32.145890,0
10,32,Laptop,9,78,19,2024-03-19 17:51:32.178940,0
10,32,Laptop,14,78,19,2024-03-19 17:51:32.212140,0
10,31,Laptop,6,78,19,2024-03-19 17:51:32.243759,0
10,35,Laptop,14,78,19,2024-03-19 17:51:32.279850,0
10,40,Laptop,16,78,19,2024-03-19 17:51:32.321090,0
10,38,Laptop,19,78,20,2024-03-19 17:51:32.360672,0
10,41,Laptop,17,78,19,2024-03-19 17:51:32.402420,0
10,41,Laptop,7,78,19,2024-03-19 17:51:32.444486,0
10,34,Laptop,10,78,19,2024-03-19 17:51:32.479774,0
10,33,Laptop,9,78,19,2024-03-19 17:51:32.513432,0
10,43,Laptop,8,78,19,2024-03-19 17:51:32.557770,0
10,34,Laptop,8,78,19,2024-03-19 17:51:32.593373,0
10,37,Laptop,6,78,19,2024-03-19 17:51:32.631639,0
10,32,Laptop,9,78,19,2024-03-19 17:51:32.664802,0
10,32,Laptop,5,78,19,2024-03-19 17:51:32.697307,0
10,31,Laptop,9,78,19,2024-03-19 17:51:32.729165,0
10,34,Laptop,10,78,19,2024-03-19 17:51:32.763688,0
10,39,Laptop,14,78,19,2024-03-19 17:51:32.803504,0
10,33,Laptop,10,78,19,2024-03-19 17:51:32.837929,0
10,33,Laptop,11,78,19,2024-03-19 17:51:32.871966,0
10,32,Laptop,5,78,19,2024-03-19 17:51:32.904714,0
10,31,Laptop,7,78,19,2024-03-19 17:51:32.937076,0
10,32,Laptop,13,78,19,2024-03-19 17:51:32.969916,0
10,37,Laptop,10,78,19,2024-03-19 17:51:33.008139,0
10,33,Laptop,7,78,19,2024-03-19 17:51:33.041600,0
10,31,Laptop,6,78,19,2024-03-19 17:51:33.073486,0
10,31,Laptop,6,78,19,2024-03-19 17:51:33.105462,0
10,31,Laptop,11,78,19,2024-03-19 17:51:33.136903,0
10,34,Laptop,7,78,19,2024-03-19 17:51:33.171777,0
10,34,Laptop,14,78,19,2024-03-19 17:51:33.206766,0
10,34,Laptop,9,78,19,2024-03-19 17:51:33.241420,0
10,33,Laptop,10,78,19,2024-03-19 17:51:33.275863,0
10,34,Laptop,7,78,19,2024-03-19 17:51:33.310975,0
10,32,Laptop,7,78,19,2024-03-19 17:51:33.344088,0
10,32,Laptop,11,78,19,2024-03-19 17:51:33.377477,0
10,35,Laptop,16,78,19,2024-03-19 17:51:33.413726,0
10,35,Laptop,10,78,19,2024-03-19 17:51:33.449634,0
10,39,Laptop,7,78,19,2024-03-19 17:51:33.490056,0
10,43,Laptop,6,78,19,2024-03-19 17:51:33.533451,0
10,37,Laptop,8,78,19,2024-03-19 17:51:33.571447,0
10,43,Laptop,13,78,19,2024-03-19 17:51:33.615468,0
10,41,Laptop,7,78,19,2024-03-19 17:51:33.657603,0
10,39,Laptop,14,78,19,2024-03-19 17:51:33.697319,0
10,33,Laptop,10,78,19,2024-03-19 17:51:33.731809,0
10,35,Laptop,7,78,19,2024-03-19 17:51:33.767844,0
10,33,Laptop,7,78,19,2024-03-19 17:51:33.801787,0
10,33,Laptop,9,78,19,2024-03-19 17:51:33.835478,0
10,33,Laptop,10,78,19,2024-03-19 17:51:33.869908,0
10,32,Laptop,5,78,19,2024-03-19 17:51:33.903031,0
10,35,Laptop,8,78,19,2024-03-19 17:51:33.938963,0
10,31,Laptop,6,78,19,2024-03-19 17:51:33.970812,0
10,30,Laptop,14,78,19,2024-03-19 17:51:34.001852,0
10,37,Laptop,18,78,20,2024-03-19 17:51:34.039791,0
10,45,Laptop,19,78,20,2024-03-19 17:51:34.085500,0
10,36,Laptop,17,78,19,2024-03-19 17:51:34.122218,0
10,38,Laptop,6,78,19,2024-03-19 17:51:34.161456,0
10,33,Laptop,12,78,19,2024-03-19 17:51:34.195617,0
10,31,Laptop,8,78,19,2024-03-19 17:51:34.227548,0
10,33,Laptop,7,78,19,2024-03-19 17:51:34.261690,0
10,36,Laptop,15,78,19,2024-03-19 17:51:34.298364,0
10,32,Laptop,10,78,19,2024-03-19 17:51:34.331756,0
10,34,Laptop,7,78,19,2024-03-19 17:51:34.367064,0
10,39,Laptop,11,78,19,2024-03-19 17:51:34.407385,0
10,32,Laptop,7,78,19,2024-03-19 17:51:34.440067,0
10,35,Laptop,7,78,19,2024-03-19 17:51:34.475720,0
10,32,Laptop,7,78,19,2024-03-19 17:51:34.509094,0
10,32,Laptop,11,78,19,2024-03-19 17:51:34.541847,0
10,30,Laptop,6,78,19,2024-03-19 17:51:34.572586,0
10,31,Laptop,8,78,19,2024-03-19 17:51:34.604397,0
10,31,Laptop,9,78,19,2024-03-19 17:51:34.636606,0
10,44,Laptop,8,78,19,2024-03-19 17:51:34.681218,0
10,39,Laptop,16,78,19,2024-03-19 17:51:34.721592,0
10,32,Laptop,11,78,19,2024-03-19 17:51:34.754902,0
10,33,Laptop,7,78,19,2024-03-19 17:51:34.788583,0
10,30,Laptop,10,78,19,2024-03-19 17:51:34.819889,0
10,30,Laptop,8,78,19,2024-03-19 17:51:34.850531,0
10,33,Laptop,7,78,19,2024-03-19 17:51:34.884358,0
10,35,Laptop,10,78,19,2024-03-19 17:51:34.920719,0
10,34,Laptop,7,78,19,2024-03-19 17:51:34.955678,0
10,32,Laptop,7,78,19,2024-03-19 17:51:34.988649,0
10,33,Laptop,7,78,19,2024-03-19 17:51:35.022959,0
10,32,Laptop,7,78,19,2024-03-19 17:51:35.056144,0
10,32,Laptop,11,78,19,2024-03-19 17:51:35.088753,0
10,35,Laptop,16,78,19,2024-03-19 17:51:35.124731,0
10,34,Laptop,12,78,19,2024-03-19 17:51:35.159962,0
10,33,Laptop,7,78,19,2024-03-19 17:51:35.193518,0
10,33,Laptop,7,78,19,2024-03-19 17:51:35.227377,0
10,32,Laptop,7,78,19,2024-03-19 17:51:35.260137,0
10,34,Laptop,7,78,19,2024-03-19 17:51:35.294857,0
10,36,Laptop,14,78,19,2024-03-19 17:51:35.331785,0
10,36,Laptop,11,78,19,2024-03-19 17:51:35.369005,0
10,33,Laptop,10,78,19,2024-03-19 17:51:35.403450,0
10,32,Laptop,7,78,19,2024-03-19 17:51:35.436632,0
10,33,Laptop,7,78,19,2024-03-19 17:51:35.470878,0
10,32,Laptop,11,78,19,2024-03-19 17:51:35.504599,0
10,35,Laptop,7,78,19,2024-03-19 17:51:35.540223,0
10,37,Laptop,8,78,19,2024-03-19 17:51:35.578217,0
10,32,Laptop,11,78,19,2024-03-19 17:51:35.611303,0
10,32,Laptop,11,78,19,2024-03-19 17:51:35.643704,0
10,31,Laptop,7,78,19,2024-03-19 17:51:35.675850,0
10,35,Laptop,8,78,19,2024-03-19 17:51:35.711937,0
10,34,Laptop,14,78,19,2024-03-19 17:51:35.747083,0
10,33,Laptop,9,78,19,2024-03-19 17:51:35.781474,0
10,32,Laptop,7,78,19,2024-03-19 17:51:35.814201,0
10,32,Laptop,5,78,19,2024-03-19 17:51:35.846997,0
10,31,Laptop,7,78,19,2024-03-19 17:51:35.878948,0
10,30,Laptop,8,78,19,2024-03-19 17:51:35.909822,0
10,34,Laptop,9,78,19,2024-03-19 17:51:35.944449,0
