delta_privacy,fps,pixel,timestamp,device_type,cpu,memory,consumption,gpu
34,15,480,2024-03-26 09:58:35.951743,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:36.031552,Orin,20,74,6,35
34,15,480,2024-03-26 09:58:36.111032,Orin,20,74,6,35
34,15,480,2024-03-26 09:58:36.191100,Orin,15,74,6,35
33,15,480,2024-03-26 09:58:36.271361,Orin,16,74,6,35
33,15,480,2024-03-26 09:58:36.351728,Orin,15,74,6,35
38,15,480,2024-03-26 09:58:36.436037,Orin,21,74,6,35
34,15,480,2024-03-26 09:58:36.511169,Orin,20,74,6,35
34,15,480,2024-03-26 09:58:36.591993,Orin,17,74,6,35
33,15,480,2024-03-26 09:58:36.671956,Orin,14,74,6,35
33,15,480,2024-03-26 09:58:36.752209,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:36.831955,Orin,16,74,6,35
33,15,480,2024-03-26 09:58:36.911046,Orin,20,74,6,35
33,15,480,2024-03-26 09:58:36.990536,Orin,19,74,6,35
36,15,480,2024-03-26 09:58:37.072904,Orin,18,74,6,35
33,15,480,2024-03-26 09:58:37.149691,Orin,17,74,6,35
33,15,480,2024-03-26 09:58:37.229370,Orin,16,74,6,35
33,15,480,2024-03-26 09:58:37.308437,Orin,15,74,6,35
31,15,480,2024-03-26 09:58:37.386368,Orin,19,74,6,35
30,15,480,2024-03-26 09:58:37.465383,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:37.545546,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:37.624615,Orin,18,74,6,35
31,15,480,2024-03-26 09:58:37.704952,Orin,17,74,6,35
31,15,480,2024-03-26 09:58:37.785016,Orin,19,74,6,35
31,15,480,2024-03-26 09:58:37.864919,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:37.944021,Orin,18,74,6,35
30,15,480,2024-03-26 09:58:38.023775,Orin,20,74,6,35
31,15,480,2024-03-26 09:58:38.104416,Orin,21,74,6,35
31,15,480,2024-03-26 09:58:38.184865,Orin,18,74,6,35
34,15,480,2024-03-26 09:58:38.268354,Orin,20,74,6,35
31,15,480,2024-03-26 09:58:38.344661,Orin,13,74,6,35
31,15,480,2024-03-26 09:58:38.423529,Orin,13,74,6,35
31,15,480,2024-03-26 09:58:38.503560,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:38.582429,Orin,20,74,6,35
30,15,480,2024-03-26 09:58:38.661234,Orin,13,74,6,35
34,15,480,2024-03-26 09:58:38.866503,Orin,46,74,7,35
29,15,480,2024-03-26 09:58:38.940773,Orin,14,74,6,35
30,15,480,2024-03-26 09:58:39.021659,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:39.100662,Orin,15,74,6,35
30,15,480,2024-03-26 09:58:39.180401,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:39.259771,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:39.338647,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:39.418188,Orin,18,74,6,35
29,15,480,2024-03-26 09:58:39.497847,Orin,21,74,6,35
29,15,480,2024-03-26 09:58:39.576661,Orin,14,74,6,35
29,15,480,2024-03-26 09:58:39.656597,Orin,16,74,6,35
29,15,480,2024-03-26 09:58:39.736632,Orin,16,74,6,35
28,15,480,2024-03-26 09:58:39.814782,Orin,18,74,6,35
28,15,480,2024-03-26 09:58:39.893661,Orin,17,74,6,35
30,15,480,2024-03-26 09:58:39.974817,Orin,20,74,6,35
31,15,480,2024-03-26 09:58:40.055864,Orin,20,74,6,35
29,15,480,2024-03-26 09:58:40.133192,Orin,17,74,6,35
29,15,480,2024-03-26 09:58:40.212187,Orin,15,74,6,35
29,15,480,2024-03-26 09:58:40.292292,Orin,22,74,6,35
